category,question_id,question,answer,faq_url
Order,55bf40a7d000003d0011ffa1,i missed the delivery of my order today. what should i do?,"the courier service delivering your order usually tries to deliver on the next business day in case you miss a delivery.
you can check your sms for more details on when the courier service will try to deliver again.
 ",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf40a7d000003d0011ffa1&view=FAQ
Order,55f2a6eb5b00001e003202ed,will the delivery be tried again if i'm not able to collect my order the first time?,couriers make sure that the delivery is re-attempted the next working day if you can't collect your order the first time.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a6eb5b00001e003202ed&view=FAQ
Order,55f2a6995b00002b003202be,the delivery of my order is delayed. what should i do?,"on the rare occasion that your order is delayed, please check your email & messages for updates. a new delivery timeframe will be shared with you and you can also track its status by visiting my orders.
 ",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a6995b00002b003202be&view=FAQ
Order,55f2a53f5c00003200342b9c,what should i do if my order is approved but hasn't been shipped yet?,sellers usually ship orders 1-2 business days before the delivery date so that they reach you on time. in case your order hasn't been shipped within this time please contact our customer support so that we can look into it.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a53f5c00003200342b9c&view=FAQ
Order,55e9455f5a00002500d5e024,can i take the shipment after opening and checking the contents inside?,"as per company policy, a shipment can't be opened before delivery, but you can accept the shipment and get in touch with us later in case you have any concerns.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55e9455f5a00002500d5e024&view=FAQ
Order,55bf09421f00002f007dbe9e,how do i know my order has been confirmed?,an e-mail & sms will be sent once you've successfully placed your order. we'll also let you know as soon as the seller ships the item(s) to you along with the tracking number(s) for your shipment(s). you can track your orders from the 'my orders' section on your flipkart account. \n ,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf09421f00002f007dbe9e&view=FAQ
Order,56139a4c1800003a00e7f928,how quickly can i get my order delivered?,orders will be delivered by the date you see on the product page for your location. ,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=56139a4c1800003a00e7f928&view=FAQ
Order,55bf29c4bc00003c005be758,"my order has reached the nearest delivery hub, but why isn't it out for delivery yet?","the courier service delivering your order are responsible for making sure that your order reaches you within the delivery date. rest assured, you'll get an sms once your shipment is out for delivery.",https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf29c4bc00003c005be758&view=FAQ
Order,55bf2b95ab00002f00e35471,"my order status shows 'out for delivery', but i haven't got it yet. when will i get it?",the courier service will contact you for delivery of your order. please check your sms for more details.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55bf2b95ab00002f00e35471&view=FAQ
Order,55f2a7a65b00003700320373,why can't i track my order even though it has been shipped?,courier services usually take upto 24 hours to activate tracking for an order once it's shipped. please check again after the mentioned time frame.,https://www.flipkart.com/helpcentre?catalog=55c9cf49b0000024002c1703&faq=55f2a7a65b00003700320373&view=FAQ
